file,offset,kind,value,context_hex
eagle0.sav,0x2a2f,u8,1,08 00 00 00 0b 00 00 00 ff ff ff ff 00 00 00 00 03 00 00 00 0b 00 00 00 01 00 00 00 ff ff ff ff 00 00 00 00 04 00 00 00 0d 00 00 00 0c 00 00 00 ff ff ff ff 00 00 00 00 05 00 00 00 12 00 00 00
eagle0.sav,0x2a87,u8,1,ff ff ff ff 00 00 00 00 07 00 00 00 0f 00 00 00 03 00 00 00 ff ff ff ff 01 00 00 00 00 00 00 00 1a 00 00 00 02 00 00 00 ff ff ff ff 01 00 00 00 01 00 00 00 16 00 00 00 0a 00 00 00 ff ff ff ff
eagle0.sav,0x2a9b,u8,1,ff ff ff ff 01 00 00 00 00 00 00 00 1a 00 00 00 02 00 00 00 ff ff ff ff 01 00 00 00 01 00 00 00 16 00 00 00 0a 00 00 00 ff ff ff ff 01 00 00 00 02 00 00 00 1d 00 00 00 18 00 00 00 ff ff ff ff
eagle0.sav,0x2a9f,u8,1,01 00 00 00 00 00 00 00 1a 00 00 00 02 00 00 00 ff ff ff ff 01 00 00 00 01 00 00 00 16 00 00 00 0a 00 00 00 ff ff ff ff 01 00 00 00 02 00 00 00 1d 00 00 00 18 00 00 00 ff ff ff ff 01 00 00 00
eagle0.sav,0x2aaf,u8,1,ff ff ff ff 01 00 00 00 01 00 00 00 16 00 00 00 0a 00 00 00 ff ff ff ff 01 00 00 00 02 00 00 00 1d 00 00 00 18 00 00 00 ff ff ff ff 01 00 00 00 03 00 00 00 20 00 00 00 05 00 00 00 ff ff ff ff
eagle0.sav,0x2ac3,u8,1,ff ff ff ff 01 00 00 00 02 00 00 00 1d 00 00 00 18 00 00 00 ff ff ff ff 01 00 00 00 03 00 00 00 20 00 00 00 05 00 00 00 ff ff ff ff 01 00 00 00 04 00 00 00 22 00 00 00 17 00 00 00 ff ff ff ff
eagle0.sav,0x2ad7,u8,1,ff ff ff ff 01 00 00 00 03 00 00 00 20 00 00 00 05 00 00 00 ff ff ff ff 01 00 00 00 04 00 00 00 22 00 00 00 17 00 00 00 ff ff ff ff 01 00 00 00 05 00 00 00 ff ff ff ff ff ff ff ff ff ff ff ff
eagle0.sav,0x2aeb,u8,1,ff ff ff ff 01 00 00 00 04 00 00 00 22 00 00 00 17 00 00 00 ff ff ff ff 01 00 00 00 05 00 00 00 ff ff ff ff ff ff ff ff ff ff ff ff 01 00 00 00 06 00 00 00 ff ff ff ff ff ff ff ff ff ff ff ff
eagle0.sav,0x2aff,u8,1,ff ff ff ff 01 00 00 00 05 00 00 00 ff ff ff ff ff ff ff ff ff ff ff ff 01 00 00 00 06 00 00 00 ff ff ff ff ff ff ff ff ff ff ff ff 01 00 00 00 07 00 00 00 ff ff ff ff ff ff ff ff ff ff ff ff
eagle0.sav,0x2b13,u8,1,ff ff ff ff 01 00 00 00 06 00 00 00 ff ff ff ff ff ff ff ff ff ff ff ff 01 00 00 00 07 00 00 00 ff ff ff ff ff ff ff ff ff ff ff ff 01 00 00 00 08 00 00 00 ff ff ff ff ff ff ff ff ff ff ff ff
eagle0.sav,0x2b27,u8,1,ff ff ff ff 01 00 00 00 07 00 00 00 ff ff ff ff ff ff ff ff ff ff ff ff 01 00 00 00 08 00 00 00 ff ff ff ff ff ff ff ff ff ff ff ff 03 00 00 00 00 00 00 00 ff ff ff ff ff ff ff ff ff ff ff ff
eagle0.sav,0x2b8f,u8,1,00 00 00 00 00 00 00 00 05 00 00 00 04 00 00 00 05 00 00 00 00 00 00 00 01 00 00 00 08 00 00 00 0b 00 00 00 0a 00 00 00 00 00 00 00 02 00 00 00 0b 00 00 00 18 00 00 00 0b 00 00 00 00 00 00 00
eagle0.sav,0x2c17,u8,1,00 00 00 00 00 00 00 00 07 00 00 00 1a 00 00 00 02 00 00 00 00 00 00 00 01 00 00 00 00 00 00 00 20 00 00 00 05 00 00 00 00 00 00 00 01 00 00 00 01 00 00 00 25 00 00 00 07 00 00 00 00 00 00 00
eagle0.sav,0x2c2b,u8,1,00 00 00 00 01 00 00 00 00 00 00 00 20 00 00 00 05 00 00 00 00 00 00 00 01 00 00 00 01 00 00 00 25 00 00 00 07 00 00 00 00 00 00 00 01 00 00 00 02 00 00 00 28 00 00 00 13 00 00 00 00 00 00 00
eagle0.sav,0x2c2f,u8,1,01 00 00 00 00 00 00 00 20 00 00 00 05 00 00 00 00 00 00 00 01 00 00 00 01 00 00 00 25 00 00 00 07 00 00 00 00 00 00 00 01 00 00 00 02 00 00 00 28 00 00 00 13 00 00 00 00 00 00 00 01 00 00 00
eagle0.sav,0x2c3f,u8,1,00 00 00 00 01 00 00 00 01 00 00 00 25 00 00 00 07 00 00 00 00 00 00 00 01 00 00 00 02 00 00 00 28 00 00 00 13 00 00 00 00 00 00 00 01 00 00 00 03 00 00 00 28 00 00 00 0f 00 00 00 00 00 00 00
eagle0.sav,0x2c53,u8,1,00 00 00 00 01 00 00 00 02 00 00 00 28 00 00 00 13 00 00 00 00 00 00 00 01 00 00 00 03 00 00 00 28 00 00 00 0f 00 00 00 00 00 00 00 01 00 00 00 04 00 00 00 ff ff ff ff ff ff ff ff 00 00 00 00
eagle0.sav,0x2c67,u8,1,00 00 00 00 01 00 00 00 03 00 00 00 28 00 00 00 0f 00 00 00 00 00 00 00 01 00 00 00 04 00 00 00 ff ff ff ff ff ff ff ff 00 00 00 00 01 00 00 00 05 00 00 00 ff ff ff ff ff ff ff ff 00 00 00 00
eagle0.sav,0x2c7b,u8,1,00 00 00 00 01 00 00 00 04 00 00 00 ff ff ff ff ff ff ff ff 00 00 00 00 01 00 00 00 05 00 00 00 ff ff ff ff ff ff ff ff 00 00 00 00 01 00 00 00 06 00 00 00 ff ff ff ff ff ff ff ff 00 00 00 00
eagle0.sav,0x2c8f,u8,1,00 00 00 00 01 00 00 00 05 00 00 00 ff ff ff ff ff ff ff ff 00 00 00 00 01 00 00 00 06 00 00 00 ff ff ff ff ff ff ff ff 00 00 00 00 01 00 00 00 07 00 00 00 ff ff ff ff ff ff ff ff 00 00 00 00
eagle0.sav,0x2ca3,u8,1,00 00 00 00 01 00 00 00 06 00 00 00 ff ff ff ff ff ff ff ff 00 00 00 00 01 00 00 00 07 00 00 00 ff ff ff ff ff ff ff ff 00 00 00 00 01 00 00 00 08 00 00 00 ff ff ff ff ff ff ff ff ff ff ff ff
eagle0.sav,0x2cb7,u8,1,00 00 00 00 01 00 00 00 07 00 00 00 ff ff ff ff ff ff ff ff 00 00 00 00 01 00 00 00 08 00 00 00 ff ff ff ff ff ff ff ff ff ff ff ff 03 00 00 00 00 00 00 00 ff ff ff ff ff ff ff ff ff ff ff ff
eagle0.sav,0x2d1f,u8,1,00 00 00 00 00 00 00 00 05 00 00 00 04 00 00 00 00 00 00 00 00 00 00 00 01 00 00 00 08 00 00 00 0b 00 00 00 00 00 00 00 01 00 00 00 00 00 00 00 0b 00 00 00 18 00 00 00 00 00 00 00 01 00 00 00
eagle0.sav,0x2d2f,u8,1,00 00 00 00 00 00 00 00 01 00 00 00 08 00 00 00 0b 00 00 00 00 00 00 00 01 00 00 00 00 00 00 00 0b 00 00 00 18 00 00 00 00 00 00 00 01 00 00 00 01 00 00 00 0d 00 00 00 0c 00 00 00 00 00 00 00
eagle0.sav,0x2d43,u8,1,00 00 00 00 01 00 00 00 00 00 00 00 0b 00 00 00 18 00 00 00 00 00 00 00 01 00 00 00 01 00 00 00 0d 00 00 00 0c 00 00 00 00 00 00 00 01 00 00 00 02 00 00 00 0f 00 00 00 1c 00 00 00 00 00 00 00
eagle0.sav,0x2d47,u8,1,01 00 00 00 00 00 00 00 0b 00 00 00 18 00 00 00 00 00 00 00 01 00 00 00 01 00 00 00 0d 00 00 00 0c 00 00 00 00 00 00 00 01 00 00 00 02 00 00 00 0f 00 00 00 1c 00 00 00 00 00 00 00 01 00 00 00
eagle0.sav,0x2d57,u8,1,00 00 00 00 01 00 00 00 01 00 00 00 0d 00 00 00 0c 00 00 00 00 00 00 00 01 00 00 00 02 00 00 00 0f 00 00 00 1c 00 00 00 00 00 00 00 01 00 00 00 03 00 00 00 12 00 00 00 06 00 00 00 00 00 00 00
eagle0.sav,0x2d6b,u8,1,00 00 00 00 01 00 00 00 02 00 00 00 0f 00 00 00 1c 00 00 00 00 00 00 00 01 00 00 00 03 00 00 00 12 00 00 00 06 00 00 00 00 00 00 00 04 00 00 00 00 00 00 00 16 00 00 00 0b 00 00 00 00 00 00 00
eagle0.sav,0x2d97,u8,1,04 00 00 00 00 00 00 00 16 00 00 00 0b 00 00 00 00 00 00 00 04 00 00 00 01 00 00 00 18 00 00 00 0d 00 00 00 00 00 00 00 04 00 00 00 02 00 00 00 1a 00 00 00 02 00 00 00 ff ff ff ff 01 00 00 00
eagle0.sav,0x2dbb,u8,1,00 00 00 00 04 00 00 00 02 00 00 00 1a 00 00 00 02 00 00 00 ff ff ff ff 01 00 00 00 01 00 00 00 20 00 00 00 05 00 00 00 ff ff ff ff 01 00 00 00 02 00 00 00 25 00 00 00 07 00 00 00 ff ff ff ff
eagle0.sav,0x2dbf,u8,1,04 00 00 00 02 00 00 00 1a 00 00 00 02 00 00 00 ff ff ff ff 01 00 00 00 01 00 00 00 20 00 00 00 05 00 00 00 ff ff ff ff 01 00 00 00 02 00 00 00 25 00 00 00 07 00 00 00 ff ff ff ff 01 00 00 00
eagle0.sav,0x2dcf,u8,1,ff ff ff ff 01 00 00 00 01 00 00 00 20 00 00 00 05 00 00 00 ff ff ff ff 01 00 00 00 02 00 00 00 25 00 00 00 07 00 00 00 ff ff ff ff 01 00 00 00 03 00 00 00 28 00 00 00 13 00 00 00 ff ff ff ff
