relative_path,name,extension,size,first16_hex,ascii_ratio,entropy,u16_small_count_first512,u16_small_mode_first512,u16_first32
Creature\sn033.lss,sn033.lss,.lss,28856,a9 1a 00 00 19 00 00 00 00 00 00 00 01 00 00 00,0.2297,5.0633,54,0,6825 0 25 0 0 0 1 0 28492 25975 21618 29295 28531 12592 52480 52685 52685 52685 52685 52685 65535 65535 0 0 0 0 43488 16824 5 0 28757 25968
Creature\sn033001.lss,sn033001.lss,.lss,32092,a9 1a 00 00 19 00 00 00 00 00 00 00 01 00 00 00,0.2392,5.2611,54,0,6825 0 25 0 0 0 1 0 28492 25975 21618 29295 28531 12592 52480 52685 52685 52685 52685 52685 65535 65535 0 0 0 0 43488 16824 5 0 28757 25968
Creature\sn034.lss,sn034.lss,.lss,33936,a9 1a 00 00 19 00 00 00 00 00 00 00 01 00 00 00,0.2443,5.3162,75,0,6825 0 25 0 0 0 1 0 28492 25975 21618 29295 28531 12592 52480 52685 52685 52685 52685 52685 65535 65535 0 0 0 0 13860 16825 5 0 28757 25968
Creature\sn034001.lss,sn034001.lss,.lss,119192,a9 1a 00 00 19 00 00 00 00 00 00 00 01 00 00 00,0.3144,6.4367,75,0,6825 0 25 0 0 0 1 0 28492 25975 21618 29295 28531 12592 52480 52685 52685 52685 52685 52685 65535 65535 0 0 0 0 13860 16825 5 0 28757 25968
Creature\sn035.lss,sn035.lss,.lss,34248,a9 1a 00 00 19 00 00 00 00 00 00 00 01 00 00 00,0.2351,5.0884,78,0,6825 0 25 0 0 0 1 0 28492 25975 21618 29295 28531 12592 52480 52685 52685 52685 52685 52685 65535 65535 0 0 0 0 43796 16824 5 0 28757 25968
Creature\sn035001.lss,sn035001.lss,.lss,76008,a9 1a 00 00 19 00 00 00 00 00 00 00 01 00 00 00,0.2892,6.0483,78,0,6825 0 25 0 0 0 1 0 28492 25975 21618 29295 28531 12592 52480 52685 52685 52685 52685 52685 65535 65535 0 0 0 0 43796 16824 5 0 28757 25968
Creature\sn035371.lss,sn035371.lss,.lss,63964,a9 1a 00 00 19 00 00 00 00 00 00 00 01 00 00 00,0.2814,5.9904,78,0,6825 0 25 0 0 0 1 0 28492 25975 21618 29295 28531 12592 52480 52685 52685 52685 52685 52685 65535 65535 0 0 0 0 43796 16824 5 0 28757 25968
Creature\sn036.lss,sn036.lss,.lss,28344,a9 1a 00 00 19 00 00 00 00 00 00 00 01 00 00 00,0.2035,4.8001,77,0,6825 0 25 0 0 0 1 0 28492 25975 21618 29295 28531 12592 52480 52685 52685 52685 52685 52685 65535 65535 0 0 0 0 44318 16828 5 0 28757 25968
Creature\sn036001.lss,sn036001.lss,.lss,31096,a9 1a 00 00 19 00 00 00 00 00 00 00 01 00 00 00,0.2085,4.944,77,0,6825 0 25 0 0 0 1 0 28492 25975 21618 29295 28531 12592 52480 52685 52685 52685 52685 52685 65535 65535 0 0 0 0 44318 16828 5 0 28757 25968
Creature\sn037.lss,sn037.lss,.lss,31032,a9 1a 00 00 19 00 00 00 00 00 00 00 01 00 00 00,0.2121,4.8624,81,0,6825 0 25 0 0 0 1 0 28492 25975 21618 29295 28531 12592 52480 52685 52685 52685 52685 52685 65535 65535 0 0 0 0 44318 16828 5 0 28757 25968
Creature\sn037001.lss,sn037001.lss,.lss,99392,a9 1a 00 00 19 00 00 00 00 00 00 00 01 00 00 00,0.287,6.1233,81,0,6825 0 25 0 0 0 1 0 28492 25975 21618 29295 28531 12592 52480 52685 52685 52685 52685 52685 65535 65535 0 0 0 0 44318 16828 5 0 28757 25968
Creature\type02.lbc,type02.lbc,.lbc,9198,4c 42 43 00 00 00 00 00 06 00 00 00 06 5f 42 6f,0.1837,4.5542,121,0,16972 67 0 0 6 0 24326 28482 12408 60978 42134 16322 35753 22593 42922 65346 65535 511 0 0 0 0 0 256 0 2048 0 0 8192 192 8192 192
Creature\type05.lbc,type05.lbc,.lbc,1881,4c 42 43 00 00 00 00 00 01 00 00 00 04 5f 42 6f,0.0851,2.711,125,0,16972 67 0 0 1 0 24324 28482 120 0 52736 3071 66 45056 65345 65535 511 0 0 0 0 0 256 0 2048 0 0 8192 192 8192 192 0
Creature\type10.lbc,type10.lbc,.lbc,1881,4c 42 43 00 00 00 00 00 01 00 00 00 04 5f 42 6f,0.1031,2.9109,102,0,16972 67 0 0 1 0 24324 28482 17272 5920 49342 44225 48704 12384 65346 65535 511 0 0 0 0 0 256 0 2048 0 11264 50672 11454 50672 190 0
Creature\woody1.lss,woody1.lss,.lss,78044,a9 1a 00 00 19 00 00 00 00 00 00 00 01 00 00 00,0.2865,6.1889,71,0,6825 0 25 0 0 0 1 0 28492 25975 21618 29295 28531 12592 52480 52685 52685 52685 52685 52685 65535 65535 14269 13702 0 0 50530 16823 5 0 28757 25968
Creature\woody2.lss,woody2.lss,.lss,60768,a9 1a 00 00 1d 00 00 00 00 00 00 00 01 00 00 00,0.2782,6.1341,77,0,6825 0 29 0 0 0 1 0 28492 25975 21618 29295 28531 12592 52480 52685 52685 52685 52685 52685 65535 65535 0 0 0 0 1365 16826 5 0 28757 25968
